DOM Element Count,Legislation Section URL,volume,Chapter,Part,Divison,Subdivision
29,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806530,,Part 1 Preliminary,,13 H  When goods are Japanese originating goods
30,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806531,,Part 1 Preliminary,,13 J  When goods are Chinese originating goods
31,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806532,,Part 1 Preliminary,,13 K  When goods are Hong Kong originating goods
32,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806533,,Part 1 Preliminary,,13 L  When goods are Regional Comprehensive Economic Partnership RCEP originating goods
33,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806534,,Part 1 Preliminary,,13 M  When goods are UK originating goods
34,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806535,,Part 1 Preliminary,,14  Application of rates of duty in relation to countries and places
35,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806536,,Part 2 Duties of Customs,,
36,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806537,,Part 2 Duties of Customs,,15  Imposition of duties
37,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806538,,Part 2 Duties of Customs,,16  Calculation of duty
38,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806539,,Part 2 Duties of Customs,,16 A  Suspension of preferential tariff for UK originating goodssafeguard goods
39,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806540,,Part 2 Duties of Customs,,17  Rates for goods with constituents etc
40,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806541,,Part 2 Duties of Customs,,18  Calculation of concessional duty
41,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806542,,Part 2 Duties of Customs,,18 A  Temporary increase in duties for goods from Russia or Belarus
42,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806543,,Part 2 Duties of Customs,,18 B  Temporary decrease in duties for goods from Ukraine
43,https://www.legislation.gov.au/C2004A04997/2024-07-01/2024-07-01/text/1/epub/OEBPS/document_1/document_1.html#_Toc172806544,,Part 2 Duties of Customs,,19  Indexation of CPI indexed rates
